entidad_federativa,Unnamed: 0,municipio,distancia,grado_accesibilidad
Baja California,2934,Ensenada,453.6,Accesibilidad alta
Baja California,2935,Ensenada,"1,302.10",Accesibilidad media
Baja California,2936,Ensenada,"1,082.80",Accesibilidad media
Baja California,2937,Ensenada,382.8,Accesibilidad alta
Baja California,2938,Ensenada,"3,000.00",Accesibilidad muy baja
Baja California,2939,Ensenada,200,Accesibilidad alta
Baja California,2940,Ensenada,100,Accesibilidad alta
Baja California,2941,Ensenada,"3,279.90",Accesibilidad muy baja
Baja California,2942,Ensenada,"4,948.50",Accesibilidad muy baja
Baja California,2943,Ensenada,"3,341.40",Accesibilidad muy baja
Baja California,2944,Ensenada,400,Accesibilidad alta
Baja California,2945,Ensenada,"2,760.70",Accesibilidad muy baja
Baja California,2946,Ensenada,"1,100.00",Accesibilidad media
Baja California,2947,Ensenada,200,Accesibilidad alta
Baja California,2948,Ensenada,"5,845.60",Accesibilidad muy baja
Baja California,2949,Ensenada,100,Accesibilidad alta
Baja California,2950,Ensenada,"2,238.50",Accesibilidad baja
Baja California,2951,Ensenada,"6,729.00",Accesibilidad muy baja
Baja California,2952,Ensenada,"1,372.80",Accesibilidad baja
Baja California,2953,Ensenada,"1,600.00",Accesibilidad media
Baja California,2954,Ensenada,"3,841.40",Accesibilidad muy baja
Baja California,2955,Ensenada,"1,382.80",Accesibilidad media
Baja California,2956,Ensenada,"2,300.00",Accesibilidad muy baja
Baja California,2957,Ensenada,"14,499.50",Accesibilidad muy baja
Baja California,2958,Ensenada,"6,787.60",Accesibilidad muy baja
Baja California,2959,Ensenada,0,Accesibilidad muy alta
Baja California,2960,Ensenada,"8,824.00",Accesibilidad muy baja
Baja California,2961,Ensenada,641.4,Accesibilidad alta
Baja California,2962,Ensenada,"2,300.00",Accesibilidad muy baja
Baja California,2963,Ensenada,"2,700.00",Accesibilidad muy baja
Baja California,2964,Ensenada,350,Accesibilidad alta
Baja California,2965,Ensenada,"10,541.80",Accesibilidad muy baja
Baja California,2966,Ensenada,"5,499.10",Accesibilidad muy baja
Baja California,2967,Ensenada,"6,900.00",Accesibilidad muy baja
Baja California,2968,Ensenada,"40,422.90",Accesibilidad muy baja
Baja California,2969,Ensenada,"15,520.00",Accesibilidad muy baja
Baja California,2970,Ensenada,300,Accesibilidad alta
Baja California,2971,Ensenada,800,Accesibilidad alta
Baja California,2972,Ensenada,"3,780.50",Accesibilidad muy baja
Baja California,2973,Ensenada,"1,589.90",Accesibilidad media
Baja California,2974,Ensenada,"4,087.00",Accesibilidad muy baja
Baja California,2975,Ensenada,641.4,Accesibilidad alta
Baja California,2976,Ensenada,100,Accesibilidad alta
Baja California,2977,Ensenada,700,Accesibilidad alta
Baja California,2978,Ensenada,"4,341.40",Accesibilidad muy baja
Baja California,2979,Ensenada,"7,574.00",Accesibilidad muy baja
Baja California,2980,Ensenada,665.7,Accesibilidad alta
Baja California,2981,Ensenada,900,Accesibilidad alta
Baja California,2982,Ensenada,"1,500.00",Accesibilidad media
Baja California,2983,Ensenada,"6,789.10",Accesibilidad muy baja
Baja California,2984,Ensenada,"1,350.00",Accesibilidad media
Baja California,2985,Ensenada,"3,657.10",Accesibilidad muy baja
Baja California,2986,Ensenada,200,Accesibilidad alta
Baja California,2987,Ensenada,"1,177.80",Accesibilidad media
Baja California,2988,Ensenada,"4,872.80",Accesibilidad muy baja
Baja California,2989,Ensenada,"2,965.70",Accesibilidad muy baja
Baja California,2990,Ensenada,"2,050.00",Accesibilidad muy baja
Baja California,2991,Ensenada,541.4,Accesibilidad alta
Baja California,2992,Ensenada,100,Accesibilidad alta
Baja California,2993,Ensenada,"2,782.80",Accesibilidad muy baja
Baja California,2994,Ensenada,"1,941.40",Accesibilidad baja
Baja California,2995,Ensenada,"1,000.00",Accesibilidad alta
Baja California,2996,Ensenada,641.4,Accesibilidad alta
Baja California,2997,Ensenada,900,Accesibilidad alta
Baja California,2998,Ensenada,500,Accesibilidad alta
Baja California,2999,Ensenada,300,Accesibilidad alta
Baja California,3000,Ensenada,100,Accesibilidad alta
Baja California,3001,Ensenada,400,Accesibilidad alta
Baja California,3002,Ensenada,200,Accesibilidad alta
Baja California,3003,Ensenada,100,Accesibilidad alta
Baja California,3004,Ensenada,700,Accesibilidad alta
Baja California,3005,Ensenada,900,Accesibilidad alta
Baja California,3006,Ensenada,600,Accesibilidad alta
Baja California,3007,Ensenada,782.8,Accesibilidad alta
Baja California,3008,Ensenada,782.8,Accesibilidad alta
Baja California,3009,Ensenada,900,Accesibilidad alta
Baja California,3010,Ensenada,600,Accesibilidad alta
Baja California,3011,Ensenada,500,Accesibilidad alta
Baja California,3012,Ensenada,100,Accesibilidad alta
Baja California,3013,Ensenada,100,Accesibilidad alta
Baja California,3014,Ensenada,100,Accesibilidad alta
Baja California,3015,Ensenada,100,Accesibilidad alta
Baja California,3016,Ensenada,0,Accesibilidad alta
Baja California,3017,Ensenada,100,Accesibilidad alta
Baja California,3018,Ensenada,"1,336.40",Accesibilidad media
Baja California,3019,Ensenada,100,Accesibilidad alta
Baja California,3020,Ensenada,"1,336.40",Accesibilidad media
Baja California,3021,Ensenada,200,Accesibilidad alta
Baja California,3022,Ensenada,141.4,Accesibilidad alta
Baja California,3023,Ensenada,500,Accesibilidad alta
Baja California,3024,Ensenada,100,Accesibilidad alta
Baja California,3025,Ensenada,0,Accesibilidad alta
Baja California,3026,Ensenada,100,Accesibilidad alta
Baja California,3027,Ensenada,0,Accesibilidad alta
Baja California,3028,Ensenada,0,Accesibilidad alta
Baja California,3029,Ensenada,200,Accesibilidad alta
Baja California,3030,Ensenada,100,Accesibilidad alta
Baja California,3031,Ensenada,100,Accesibilidad alta
Baja California,3032,Ensenada,0,Accesibilidad alta
Baja California,3033,Ensenada,400,Accesibilidad alta
Baja California,3034,Ensenada,700,Accesibilidad alta
Baja California,3035,Ensenada,900,Accesibilidad alta
Baja California,3036,Ensenada,900,Accesibilidad alta
Baja California,3037,Ensenada,"1,091.40",Accesibilidad media
Baja California,3038,Ensenada,800,Accesibilidad alta
Baja California,3039,Ensenada,100,Accesibilidad alta
Baja California,3040,Ensenada,100,Accesibilidad alta
Baja California,3041,Ensenada,741.4,Accesibilidad alta
Baja California,3042,Ensenada,"1,300.00",Accesibilidad media
Baja California,3043,Ensenada,"1,400.00",Accesibilidad media
Baja California,3044,Ensenada,"1,200.00",Accesibilidad media
Baja California,3045,Ensenada,941.4,Accesibilidad alta
Baja California,3046,Ensenada,800,Accesibilidad alta
Baja California,3047,Ensenada,900,Accesibilidad alta
Baja California,3048,Ensenada,600,Accesibilidad alta
Baja California,3049,Ensenada,400,Accesibilidad alta
Baja California,3050,Ensenada,100,Accesibilidad alta
Baja California,3051,Ensenada,0,Accesibilidad alta
Baja California,3052,Ensenada,200,Accesibilidad alta
Baja California,3053,Ensenada,0,Accesibilidad alta
Baja California,3054,Ensenada,0,Accesibilidad alta
Baja California,3055,Ensenada,400,Accesibilidad alta
Baja California,3056,Ensenada,800,Accesibilidad alta
Baja California,3057,Ensenada,0,Accesibilidad alta
Baja California,3058,Ensenada,400,Accesibilidad alta
Baja California,3059,Ensenada,800,Accesibilidad alta
Baja California,3060,Ensenada,0,Accesibilidad alta
Baja California,3061,Ensenada,"1,182.80",Accesibilidad media
Baja California,3062,Ensenada,741.4,Accesibilidad alta
Baja California,3063,Ensenada,800,Accesibilidad alta
Baja California,3064,Ensenada,500,Accesibilidad alta
Baja California,3065,Ensenada,400,Accesibilidad alta
Baja California,3066,Ensenada,700,Accesibilidad alta
Baja California,3067,Ensenada,"1,000.00",Accesibilidad alta
Baja California,3068,Ensenada,"1,000.00",Accesibilidad alta
Baja California,3069,Ensenada,500,Accesibilidad alta
Baja California,3070,Ensenada,800,Accesibilidad alta
Baja California,3071,Ensenada,882.8,Accesibilidad alta
Baja California,3072,Ensenada,0,Accesibilidad alta
Baja California,3073,Ensenada,"1,100.00",Accesibilidad media
Baja California,3074,Ensenada,"1,200.00",Accesibilidad media
Baja California,3075,Ensenada,"1,200.00",Accesibilidad media
Baja California,3076,Ensenada,"1,400.00",Accesibilidad media
Baja California,3077,Ensenada,941.4,Accesibilidad alta
Baja California,3078,Ensenada,641.4,Accesibilidad alta
Baja California,3079,Ensenada,200,Accesibilidad alta
Baja California,3080,Ensenada,100,Accesibilidad alta
Baja California,3081,Ensenada,200,Accesibilidad alta
Baja California,3082,Ensenada,600,Accesibilidad alta
Baja California,3083,Ensenada,900,Accesibilidad alta
Baja California,3084,Ensenada,"1,841.40",Accesibilidad media
Baja California,3085,Ensenada,"1,441.40",Accesibilidad media
Baja California,3086,Ensenada,700,Accesibilidad alta
Baja California,3087,Ensenada,141.4,Accesibilidad alta
Baja California,3088,Ensenada,100,Accesibilidad alta
Baja California,3089,Ensenada,241.4,Accesibilidad alta
Baja California,3090,Ensenada,865.7,Accesibilidad alta
Baja California,3091,Ensenada,"1,341.40",Accesibilidad media
Baja California,3092,Ensenada,"1,524.30",Accesibilidad media
Baja California,3093,Ensenada,"1,624.30",Accesibilidad media
Baja California,3094,Ensenada,"1,082.80",Accesibilidad media
Baja California,3095,Ensenada,541.4,Accesibilidad alta
Baja California,3096,Ensenada,0,Accesibilidad alta
Baja California,3097,Ensenada,200,Accesibilidad alta
Baja California,3098,Ensenada,682.8,Accesibilidad alta
Baja California,3099,Ensenada,"1,614.20",Accesibilidad media
Baja California,3100,Ensenada,882.8,Accesibilidad alta
Baja California,3101,Ensenada,"2,107.10",Accesibilidad muy baja
Baja California,3102,Ensenada,948.5,Accesibilidad alta
Baja California,3103,Ensenada,765.7,Accesibilidad alta
Baja California,3104,Ensenada,"1,231.40",Accesibilidad media
Baja California,3105,Ensenada,"1,589.90",Accesibilidad media
Baja California,3106,Ensenada,"1,797.10",Accesibilidad media
Baja California,3107,Ensenada,765.7,Accesibilidad alta
Baja California,3108,Ensenada,"1,277.80",Accesibilidad media
Baja California,3109,Ensenada,965.7,Accesibilidad alta
Baja California,3110,Ensenada,"1,231.40",Accesibilidad media
Baja California,3111,Ensenada,"1,472.80",Accesibilidad media
Baja California,3112,Ensenada,782.8,Accesibilidad alta
Baja California,3113,Ensenada,"6,924.00",Accesibilidad muy baja
Baja California,3114,Ensenada,282.8,Accesibilidad alta
Baja California,3115,Ensenada,"4,117.80",Accesibilidad muy baja
Baja California,3116,Ensenada,"1,077.80",Accesibilidad media
Baja California,3117,Ensenada,200,Accesibilidad alta
Baja California,3118,Ensenada,212.1,Accesibilidad muy alta
Baja California,3119,Ensenada,"5,700.00",Accesibilidad muy baja
Baja California,3120,Ensenada,"7,733.50",Accesibilidad muy baja
Baja California,3121,Ensenada,"19,842.80",Accesibilidad muy baja
Baja California,3122,Ensenada,"4,700.00",Accesibilidad muy baja
Baja California,3123,Ensenada,"2,141.40",Accesibilidad muy baja
Baja California,3124,Ensenada,"1,341.40",Accesibilidad media
Baja California,3125,Ensenada,"88,175.40",Accesibilidad muy baja
Baja California,3126,Ensenada,"1,800.00",Accesibilidad media
Baja California,3127,Ensenada,"2,838.50",Accesibilidad muy baja
Baja California,3128,Ensenada,"16,573.10",Accesibilidad muy baja
Baja California,3129,Ensenada,"1,655.60",Accesibilidad media
Baja California,3130,Ensenada,"2,743.50",Accesibilidad baja
Baja California,3131,Ensenada,100,Accesibilidad alta
Baja California,3132,Ensenada,"1,800.00",Accesibilidad media
Baja California,3133,Ensenada,"4,274.90",Accesibilidad muy baja
Baja California,3134,Ensenada,0,Accesibilidad muy alta
Baja California,3135,Ensenada,100,Accesibilidad muy alta
Baja California,3136,Ensenada,"1,331.40",Accesibilidad media
Baja California,3137,Ensenada,"2,609.20",Accesibilidad muy baja
Baja California,3138,Ensenada,100,Accesibilidad alta
Baja California,3139,Ensenada,"3,438.50",Accesibilidad muy baja
Baja California,3140,Ensenada,"1,248.50",Accesibilidad media
Baja California,3141,Ensenada,550,Accesibilidad alta
Baja California,3142,Ensenada,"3,971.30",Accesibilidad muy baja
Baja California,3143,Ensenada,800,Accesibilidad alta
Baja California,3144,Ensenada,"2,300.00",Accesibilidad muy baja
Baja California,3145,Ensenada,"73,589.80",Accesibilidad muy baja
Baja California,3146,Ensenada,"33,955.10",Accesibilidad muy baja
Baja California,3147,Ensenada,"7,387.00",Accesibilidad muy baja
Baja California,3148,Ensenada,"4,728.40",Accesibilidad muy baja
Baja California,3149,Ensenada,"4,087.00",Accesibilidad muy baja
Baja California,3150,Ensenada,"1,600.00",Accesibilidad media
Baja California,3151,Ensenada,"33,691.50",Accesibilidad muy baja
Baja California,3152,Ensenada,650,Accesibilidad alta
Baja California,3153,Ensenada,500,Accesibilidad alta
Baja California,3154,Ensenada,582.8,Accesibilidad alta
Baja California,3155,Ensenada,941.4,Accesibilidad alta
Baja California,3156,Ensenada,"7,170.50",Accesibilidad muy baja
Baja California,3157,Ensenada,"5,374.00",Accesibilidad muy baja
Baja California,3158,Ensenada,"38,703.70",Accesibilidad muy baja
Baja California,3159,Ensenada,"11,522.50",Accesibilidad muy baja
Baja California,3160,Ensenada,"8,682.60",Accesibilidad muy baja
Baja California,3161,Ensenada,150,Accesibilidad alta
Baja California,3162,Ensenada,"7,199.70",Accesibilidad muy baja
Baja California,3163,Ensenada,"6,039.10",Accesibilidad muy baja
Baja California,3164,Ensenada,"3,352.70",Accesibilidad muy baja
Baja California,3165,Ensenada,"7,151.80",Accesibilidad muy baja
Baja California,3166,Ensenada,"7,915.40",Accesibilidad muy baja
Baja California,3167,Ensenada,"3,507.10",Accesibilidad baja
Baja California,3168,Ensenada,807.1,Accesibilidad muy alta
Baja California,3169,Ensenada,141.4,Accesibilidad alta
Baja California,3170,Ensenada,"31,200.00",Accesibilidad muy baja
Baja California,3171,Ensenada,"5,372.80",Accesibilidad muy baja
Baja California,3172,Ensenada,"12,100.40",Accesibilidad muy baja
Baja California,3173,Ensenada,0,Accesibilidad alta
Baja California,3174,Ensenada,"3,200.00",Accesibilidad muy baja
Baja California,3175,Ensenada,"3,037.00",Accesibilidad muy baja
Baja California,3176,Ensenada,382.8,Accesibilidad muy alta
Baja California,3177,Ensenada,"1,600.00",Accesibilidad media
Baja California,3178,Ensenada,100,Accesibilidad alta
Baja California,3179,Ensenada,"3,800.00",Accesibilidad muy baja
Baja California,3180,Ensenada,"6,648.50",Accesibilidad muy baja
Baja California,3181,Ensenada,"2,821.30",Accesibilidad muy baja
Baja California,3182,Ensenada,100,Accesibilidad alta
Baja California,3183,Ensenada,"1,000.00",Accesibilidad alta
Baja California,3184,Ensenada,"5,602.10",Accesibilidad muy baja
Baja California,3185,Ensenada,100,Accesibilidad muy alta
Baja California,3186,Ensenada,"6,917.50",Accesibilidad muy baja
Baja California,3187,Ensenada,"2,250.60",Accesibilidad muy baja
Baja California,3188,Ensenada,"1,132.80",Accesibilidad baja
Baja California,3189,Ensenada,"1,577.80",Accesibilidad media
Baja California,3190,Ensenada,412.1,Accesibilidad alta
Baja California,3191,Ensenada,200,Accesibilidad alta
Baja California,3192,Ensenada,"2,700.00",Accesibilidad muy baja
Baja California,3193,Ensenada,"1,131.40",Accesibilidad baja
Baja California,3194,Ensenada,"8,024.00",Accesibilidad muy baja
Baja California,3195,Ensenada,"6,637.60",Accesibilidad muy baja
Baja California,3196,Ensenada,100,Accesibilidad muy alta
Baja California,3197,Ensenada,"11,058.90",Accesibilidad muy baja
Baja California,3198,Ensenada,"6,982.80",Accesibilidad muy baja
Baja California,3199,Ensenada,"15,513.10",Accesibilidad muy baja
Baja California,3200,Ensenada,"15,268.70",Accesibilidad muy baja
Baja California,3201,Ensenada,"77,182.10",Accesibilidad muy baja
Baja California,3202,Ensenada,"3,155.60",Accesibilidad muy baja
Baja California,3203,Ensenada,"7,600.00",Accesibilidad muy baja
Baja California,3204,Ensenada,"3,519.20",Accesibilidad muy baja
Baja California,3205,Ensenada,"1,697.10",Accesibilidad media
Baja California,3206,Ensenada,0,Accesibilidad alta
Baja California,3207,Ensenada,"1,202.10",Accesibilidad media
Baja California,3208,Ensenada,500,Accesibilidad alta
Baja California,3209,Ensenada,200,Accesibilidad muy alta
Baja California,3210,Ensenada,100,Accesibilidad alta
Baja California,3211,Ensenada,"2,412.70",Accesibilidad baja
Baja California,3212,Ensenada,"14,463.70",Accesibilidad muy baja
Baja California,3213,Ensenada,"1,382.80",Accesibilidad media
Baja California,3214,Ensenada,"2,089.90",Accesibilidad muy baja
Baja California,3215,Ensenada,912.1,Accesibilidad alta
Baja California,3216,Ensenada,100,Accesibilidad muy alta
Baja California,3217,Ensenada,865.7,Accesibilidad alta
Baja California,3218,Ensenada,350,Accesibilidad alta
Baja California,3219,Ensenada,591.4,Accesibilidad alta
Baja California,3220,Ensenada,"7,242.60",Accesibilidad muy baja
Baja California,3221,Ensenada,"3,233.50",Accesibilidad muy baja
Baja California,3222,Ensenada,"4,524.30",Accesibilidad muy baja
Baja California,3223,Ensenada,600,Accesibilidad alta
Baja California,3224,Ensenada,"1,000.00",Accesibilidad alta
Baja California,3225,Ensenada,241.4,Accesibilidad alta
Baja California,3226,Ensenada,"2,248.50",Accesibilidad muy baja
Baja California,3227,Ensenada,"1,748.50",Accesibilidad media
Baja California,3228,Ensenada,100,Accesibilidad alta
Baja California,3229,Ensenada,"1,755.60",Accesibilidad media
Baja California,3230,Ensenada,"1,552.10",Accesibilidad media
Baja California,3231,Ensenada,0,Accesibilidad alta
Baja California,3232,Ensenada,"2,782.80",Accesibilidad muy baja
Baja California,3233,Ensenada,100,Accesibilidad alta
Baja California,3234,Ensenada,100,Accesibilidad alta
Baja California,3235,Ensenada,200,Accesibilidad alta
Baja California,3236,Ensenada,"1,400.00",Accesibilidad media
Baja California,3237,Ensenada,"1,797.10",Accesibilidad media
Baja California,3238,Ensenada,"1,324.30",Accesibilidad media
Baja California,3239,Ensenada,100,Accesibilidad alta
Baja California,3240,Ensenada,500,Accesibilidad alta
Baja California,3241,Ensenada,"32,620.00",Accesibilidad muy baja
Baja California,3242,Ensenada,"10,091.20",Accesibilidad muy baja
Baja California,3243,Ensenada,"1,065.70",Accesibilidad media
Baja California,3244,Ensenada,"90,487.40",Accesibilidad muy baja
Baja California,3245,Ensenada,491.4,Accesibilidad alta
Baja California,3246,Ensenada,"1,741.40",Accesibilidad media
Baja California,3247,Ensenada,"2,226.30",Accesibilidad muy baja
Baja California,3248,Ensenada,"1,514.20",Accesibilidad media
Baja California,3249,Ensenada,"1,624.30",Accesibilidad media
Baja California,3250,Ensenada,"2,055.60",Accesibilidad muy baja
Baja California,3251,Ensenada,200,Accesibilidad alta
Baja California,3252,Ensenada,"2,350.00",Accesibilidad muy baja
Baja California,3253,Ensenada,400,Accesibilidad muy alta
Baja California,3254,Ensenada,777.8,Accesibilidad alta
Baja California,3255,Ensenada,"15,229.60",Accesibilidad muy baja
Baja California,3256,Ensenada,0,Accesibilidad alta
Baja California,3257,Ensenada,741.4,Accesibilidad alta
Baja California,3258,Ensenada,"63,322.00",Accesibilidad muy baja
Baja California,3259,Ensenada,"42,219.80",Accesibilidad muy baja
Baja California,3260,Ensenada,"1,377.80",Accesibilidad media
Baja California,3261,Ensenada,300,Accesibilidad alta
Baja California,3262,Ensenada,"1,100.00",Accesibilidad media
Baja California,3263,Ensenada,"23,637.10",Accesibilidad muy baja
Baja California,3264,Ensenada,"1,531.40",Accesibilidad media
Baja California,3265,Ensenada,150,Accesibilidad alta
Baja California,3266,Ensenada,"2,867.80",Accesibilidad muy baja
Baja California,3267,Ensenada,"27,205.10",Accesibilidad muy baja
Baja California,3268,Ensenada,"2,300.00",Accesibilidad muy baja
Baja California,3269,Ensenada,"2,989.90",Accesibilidad muy baja
Baja California,3270,Ensenada,"1,800.00",Accesibilidad media
Baja California,3271,Ensenada,282.8,Accesibilidad alta
Baja California,3272,Ensenada,"5,912.70",Accesibilidad muy baja
Baja California,3273,Ensenada,"1,048.50",Accesibilidad media
Baja California,3274,Ensenada,200,Accesibilidad muy alta
Baja California,3275,Ensenada,100,Accesibilidad alta
Baja California,3276,Ensenada,"2,600.00",Accesibilidad muy baja
Baja California,3277,Ensenada,150,Accesibilidad alta
Baja California,3278,Ensenada,"1,900.00",Accesibilidad media
Baja California,3279,Ensenada,"7,454.80",Accesibilidad muy baja
Baja California,3280,Ensenada,"1,189.90",Accesibilidad media
Baja California,3281,Ensenada,"1,843.50",Accesibilidad media
Baja California,3282,Ensenada,100,Accesibilidad muy alta
Baja California,3283,Ensenada,0,Accesibilidad alta
Baja California,3284,Ensenada,341.4,Accesibilidad muy alta
Baja California,3285,Ensenada,"2,024.30",Accesibilidad muy baja
Baja California,3286,Ensenada,100,Accesibilidad alta
Baja California,3287,Ensenada,636.4,Accesibilidad alta
Baja California,3288,Ensenada,"2,138.50",Accesibilidad muy baja
Baja California,3289,Ensenada,"2,079.90",Accesibilidad muy baja
Baja California,3290,Ensenada,"10,321.90",Accesibilidad muy baja
Baja California,3291,Ensenada,"1,914.20",Accesibilidad baja
Baja California,3292,Ensenada,"2,186.40",Accesibilidad muy baja
Baja California,3293,Ensenada,"1,650.00",Accesibilidad media
Baja California,3294,Ensenada,732.8,Accesibilidad alta
Baja California,3295,Ensenada,482.8,Accesibilidad alta
Baja California,3296,Ensenada,900,Accesibilidad alta
Baja California,3297,Ensenada,341.4,Accesibilidad alta
Baja California,3298,Ensenada,200,Accesibilidad alta
Baja California,3299,Ensenada,"1,041.40",Accesibilidad media
Baja California,3300,Ensenada,300,Accesibilidad alta
Baja California,3301,Ensenada,"1,200.00",Accesibilidad media
Baja California,3302,Ensenada,400,Accesibilidad alta
Baja California,3303,Ensenada,"1,660.70",Accesibilidad media
Baja California,3304,Ensenada,"1,472.80",Accesibilidad media
Baja California,3305,Ensenada,595,Accesibilidad alta
Baja California,3306,Ensenada,282.8,Accesibilidad muy alta
Baja California,3307,Ensenada,0,Accesibilidad alta
Baja California,3308,Ensenada,100,Accesibilidad alta
Baja California,3309,Ensenada,"1,107.10",Accesibilidad media
Baja California,3310,Ensenada,"11,773.10",Accesibilidad muy baja
Baja California,3311,Ensenada,"2,855.60",Accesibilidad muy baja
Baja California,3312,Ensenada,100,Accesibilidad alta
Baja California,3313,Ensenada,"6,425.50",Accesibilidad muy baja
Baja California,3314,Ensenada,"2,941.40",Accesibilidad muy baja
Baja California,3315,Ensenada,0,Accesibilidad alta
Baja California,3316,Ensenada,200,Accesibilidad alta
Baja California,3317,Ensenada,707.1,Accesibilidad alta
Baja California,3318,Ensenada,0,Accesibilidad alta
Baja California,3319,Ensenada,341.4,Accesibilidad alta
Baja California,3320,Ensenada,"1,814.20",Accesibilidad media
Baja California,3321,Ensenada,841.4,Accesibilidad alta
Baja California,3322,Ensenada,"7,974.90",Accesibilidad muy baja
Baja California,3323,Ensenada,"3,500.00",Accesibilidad muy baja
Baja California,3324,Ensenada,"4,448.50",Accesibilidad muy baja
Baja California,3325,Ensenada,"1,655.60",Accesibilidad media
Baja California,3326,Ensenada,"1,938.50",Accesibilidad media
Baja California,3327,Ensenada,989.9,Accesibilidad alta
Baja California,3328,Ensenada,"4,668.40",Accesibilidad muy baja
Baja California,3329,Ensenada,"2,941.40",Accesibilidad muy baja
Baja California,3330,Ensenada,665.7,Accesibilidad alta
Baja California,3331,Ensenada,"3,050.00",Accesibilidad muy baja
Baja California,3332,Ensenada,200,Accesibilidad alta
Baja California,3333,Ensenada,"2,200.00",Accesibilidad muy baja
Baja California,3334,Ensenada,"4,541.40",Accesibilidad muy baja
Baja California,3335,Ensenada,"1,089.90",Accesibilidad media
Baja California,3336,Ensenada,565.7,Accesibilidad alta
Baja California,3337,Ensenada,"1,331.40",Accesibilidad baja
Baja California,3338,Ensenada,"1,095.00",Accesibilidad baja
Baja California,3339,Ensenada,"22,610.80",Accesibilidad muy baja
Baja California,3340,Ensenada,"34,181.30",Accesibilidad muy baja
Baja California,3341,Ensenada,"1,807.10",Accesibilidad media
Baja California,3342,Ensenada,"1,139.90",Accesibilidad baja
Baja California,3343,Ensenada,"5,682.80",Accesibilidad muy baja
Baja California,3344,Ensenada,"1,614.20",Accesibilidad media
Baja California,3345,Ensenada,"3,000.00",Accesibilidad muy baja
Baja California,3346,Ensenada,"1,400.00",Accesibilidad media
Baja California,3347,Ensenada,0,Accesibilidad alta
Baja California,3348,Ensenada,600,Accesibilidad alta
Baja California,3349,Ensenada,400,Accesibilidad alta
Baja California,3350,Ensenada,"3,850.00",Accesibilidad muy baja
Baja California,3351,Ensenada,"1,100.00",Accesibilidad media
Baja California,3352,Ensenada,"2,191.40",Accesibilidad muy baja
Baja California,3353,Ensenada,350,Accesibilidad alta
Baja California,3354,Ensenada,"7,648.30",Accesibilidad muy baja
Baja California,3355,Ensenada,"1,500.00",Accesibilidad media
Baja California,3356,Ensenada,"6,935.50",Accesibilidad muy baja
Baja California,3357,Ensenada,"1,900.00",Accesibilidad media
Baja California,3358,Ensenada,"1,900.00",Accesibilidad media
Baja California,3359,Ensenada,"4,941.40",Accesibilidad muy baja
Baja California,3360,Ensenada,924.3,Accesibilidad alta
Baja California,3361,Ensenada,300,Accesibilidad alta
Baja California,3362,Ensenada,"3,565.70",Accesibilidad muy baja
Baja California,3363,Ensenada,0,Accesibilidad alta
Baja California,3364,Ensenada,"1,407.10",Accesibilidad media
Baja California,3365,Ensenada,"7,350.00",Accesibilidad muy baja
Baja California,3366,Ensenada,200,Accesibilidad alta
Baja California,3367,Ensenada,"5,261.30",Accesibilidad muy baja
Baja California,3368,Ensenada,"1,082.80",Accesibilidad media
Baja California,3369,Ensenada,"5,087.00",Accesibilidad muy baja
Baja California,3370,Ensenada,"5,383.50",Accesibilidad muy baja
Baja California,3371,Ensenada,"36,354.30",Accesibilidad muy baja
Baja California,3372,Ensenada,"3,672.80",Accesibilidad muy baja
Baja California,3373,Ensenada,565.7,Accesibilidad alta
Baja California,3374,Ensenada,600,Accesibilidad alta
Baja California,3375,Ensenada,"7,574.00",Accesibilidad muy baja
Baja California,3376,Ensenada,"11,521.70",Accesibilidad muy baja
Baja California,3377,Ensenada,250,Accesibilidad alta
Baja California,3378,Ensenada,100,Accesibilidad muy alta
Baja California,3379,Ensenada,"32,582.20",Accesibilidad muy baja
Baja California,3380,Ensenada,"2,900.00",Accesibilidad muy baja
Baja California,3381,Ensenada,"1,900.00",Accesibilidad media
Baja California,3382,Ensenada,"1,550.00",Accesibilidad media
Baja California,3383,Ensenada,"1,107.10",Accesibilidad media
Baja California,3384,Ensenada,"1,797.10",Accesibilidad media
Baja California,3385,Ensenada,"1,300.00",Accesibilidad media
Baja California,3386,Ensenada,"1,136.40",Accesibilidad media
Baja California,3387,Ensenada,"4,460.70",Accesibilidad muy baja
Baja California,3388,Ensenada,"34,800.50",Accesibilidad muy baja
Baja California,3389,Ensenada,"26,690.30",Accesibilidad muy baja
Baja California,3390,Ensenada,682.8,Accesibilidad alta
Baja California,3391,Ensenada,"206,000.00",Accesibilidad muy baja
Baja California,3392,Ensenada,"1,950.00",Accesibilidad baja
Baja California,3393,Ensenada,491.4,Accesibilidad alta
Baja California,3394,Ensenada,"1,581.40",Accesibilidad media
Baja California,3395,Ensenada,312.1,Accesibilidad alta
Baja California,3396,Ensenada,"1,900.00",Accesibilidad media
Baja California,3397,Ensenada,200,Accesibilidad alta
Baja California,3398,Ensenada,341.4,Accesibilidad alta
Baja California,3399,Ensenada,"6,687.00",Accesibilidad muy baja
Baja California,3400,Ensenada,"28,315.80",Accesibilidad muy baja
Baja California,3401,Ensenada,"2,165.70",Accesibilidad muy baja
Baja California,3402,Ensenada,"12,941.80",Accesibilidad muy baja
Baja California,3403,Ensenada,"13,971.10",Accesibilidad muy baja
Baja California,3404,Ensenada,"15,848.90",Accesibilidad muy baja
Baja California,3405,Ensenada,"11,196.20",Accesibilidad muy baja
